    Elements		    BubbleSort		            SelectionSort		                InsertSort		            HeapSort		            MergeSort		            QuickSort		             RadixSort		               SmoothSort		            Timsort		                CombSort

    2^3 = 8 		    0.00000674s (51.33%)    	0.00000656s (49.95%)    	    0.00000397s (30.23%)    	0.00000840s (63.94%)    	0.00000704s (53.57%)    	0.00000652s (49.63%)    	0.00001314s (100.00%)    	0.00000821s (62.48%)    	0.00000401s (30.52%)    	0.00000710s (54.04%)    	
    2^4 = 16 		    0.00002503s (93.93%)    	0.00002665s (100.00%)    	    0.00001252s (46.96%)    	0.00002114s (79.31%)    	0.00001548s (58.09%)    	0.00001535s (57.61%)    	0.00002498s (93.73%)    	0.00002205s (82.72%)    	0.00001246s (46.77%)    	0.00001806s (67.77%)    	
    2^5 = 32 		    0.00009702s (100.00%)    	0.00008221s (84.74%)    	    0.00004500s (46.38%)    	0.00005259s (54.21%)    	0.00003721s (38.35%)    	0.00003641s (37.53%)    	0.00003563s (36.72%)    	0.00005504s (56.73%)    	0.00004128s (42.54%)    	0.00005122s (52.79%)    	
    2^6 = 64 		    0.00038640s (100.00%)    	0.00031761s (82.20%)    	    0.00016685s (43.18%)    	0.00012763s (33.03%)    	0.00008522s (22.06%)    	0.00008447s (21.86%)    	0.00006485s (16.78%)    	0.00013289s (34.39%)    	0.00009405s (24.34%)    	0.00012724s (32.93%)    	
    2^7 = 128 		    0.00155572s (100.00%)    	0.00125934s (80.95%)    	    0.00064246s (41.30%)    	0.00030392s (19.54%)    	0.00019989s (12.85%)    	0.00019658s (12.64%)    	0.00012256s (7.88%)    	    0.00032331s (20.78%)    	0.00021401s (13.76%)    	0.00032145s (20.66%)    	
    2^8 = 256 		    0.00624827s (100.00%)    	0.00505406s (80.89%)    	    0.00256780s (41.10%)    	0.00071371s (11.42%)    	0.00046776s (7.49%)    	    0.00044291s (7.09%)    	    0.00024159s (3.87%)    	    0.00075726s (12.12%)    	0.00045297s (7.25%)    	    0.00078355s (12.54%)    	
    2^9 = 512 		    0.02572204s (100.00%)    	0.02082471s (80.96%)    	    0.01042580s (40.53%)    	0.00169223s (6.58%)    	    0.00106778s (4.15%)    	    0.00102472s (3.98%)    		0.00053836s (2.09%)    	    0.00177690s (6.91%)     	0.00104485s (4.06%)    	    0.00192904s (7.50%)    	
    2^10 = 1024 	    0.10501866s (100.00%)    	0.08208892s (78.17%)    	    0.04273248s (40.69%)    	0.00386472s (3.68%)    		0.00240037s (2.29%)    		0.00226932s (2.16%)    		0.00106413s (1.01%)    	    0.00400434s (3.81%)    	    0.00230401s (2.19%)    	    0.00459394s (4.37%)    	
    2^11 = 2048 	    0.42999437s (100.00%)    	0.33493044s (77.89%)    	    0.16899433s (39.30%)    	0.00871859s (2.03%)    		0.00526626s (1.22%)    		0.00495024s (1.15%)    		0.00208557s (0.49%)    	    0.00922008s (2.14%)    	    0.00485613s (1.13%)    	    0.01124964s (2.62%)    	
    2^12 = 4096 	    1.73383510s (100.00%)    	1.32420495s (76.37%)    	    0.68322752s (39.41%)    	0.01946380s (1.12%)    		0.01156273s (0.67%)    		0.01087253s (0.63%)    		0.00439615s (0.25%)    	    0.01968431s (1.14%)    	    0.01051483s (0.61%)    	    0.02291963s (1.32%)    	
    2^13 = 8192 	    7.05613122s (100.00%)    	5.38561964s (76.33%)    	    2.75851321s (39.09%)    	0.04276617s (0.61%)    		0.02554097s (0.36%)    		0.02336483s (0.33%)    		0.00875964s (0.12%)    	    0.04347148s (0.62%)    	    0.02250233s (0.32%)    	    0.05394409s (0.76%)    	
    2^14 = 16384 	    28.41694283s (100.00%)     	21.90186489s (77.07%)       	11.18869572s (39.37%)    	0.09394066s (0.33%)    		0.05626762s (0.20%)    		0.05026815s (0.18%)    		0.01841059s (0.06%)    	    0.09597664s (0.34%)    	    0.04888675s (0.17%)    	    0.12212877s (0.43%)    	


	Almost Sorted

    2^3 = 8 		    0.00000470s (32.23%)    	0.00000619s (42.45%)    	    0.00000257s (17.63%)        0.00000958s (65.72%)        0.00000667s (45.74%)    	0.00000486s (33.33%)        0.00001458s (100.00%)       0.00000825s (56.60%)        0.00000344s (23.57%)        0.00000789s (54.11%)    	
    2^4 = 16 		    0.00001287s (55.02%)    	0.00002179s (93.14%)    	    0.00000514s (21.96%)        0.00002173s (92.88%)        0.00001473s (62.97%)    	0.00001073s (45.86%)	    0.00002188s (93.53%)        0.00002339s (100.00%)       0.00000488s (20.84%)        0.00001574s (67.27%)    	
    2^5 = 32 		    0.00004514s (56.38%)    	0.00008008s (100.00%)    	    0.00000874s (10.92%)        0.00005471s (68.32%)        0.00003184s (39.76%)    	0.00002331s (29.12%)        0.00003629s (45.32%)        0.00005598s (69.91%)        0.00000840s (10.50%)        0.00004189s (52.32%)    	
    2^6 = 64 		    0.00017530s (55.03%)    	0.00031857s (100.00%)    	    0.00001737s (5.45%)    	    0.00013408s (42.09%)        0.00007145s (22.43%)    	0.00005214s (16.37%)        0.00006651s (20.88%)        0.00014049s (44.10%)        0.00002275s (7.14%)    	    0.00011620s (36.48%)    	
    2^7 = 128 		    0.00063605s (49.07%)    	0.00129618s (100.00%)    	    0.00003606s (2.78%)    	    0.00032117s (24.78%)        0.00016002s (12.35%)    	0.00012303s (9.49%)    	    0.00012863s (9.92%)    	    0.00033822s (26.09%)        0.00005408s (4.17%)    	    0.00027663s (21.34%)    	
    2^8 = 256 		    0.00229584s (45.29%)    	0.00506898s (100.00%)    	    0.00007335s (1.45%)    	    0.00074188s (14.64%)        0.00035020s (6.91%)     	0.00027218s (5.37%)    	    0.00024580s (4.85%)    	    0.00084263s (16.62%)        0.00012881s (2.54%)    	    0.00068384s (13.49%)    	
    2^9 = 512 		    0.01079292s (49.18%)    	0.02194540s (100.00%)    	    0.00014993s (0.68%)    	    0.00174453s (7.95%)    	    0.00081286s (3.70%)     	0.00064442s (2.94%)    	    0.00054413s (2.48%)    	    0.00184534s (8.41%)    	    0.00031746s (1.45%)    	    0.00166444s (7.58%)    	
    2^10 = 1024 	    0.04312419s (50.97%)    	0.08461316s (100.00%)    	    0.00029804s (0.35%)    	    0.00402723s (4.76%)    	    0.00179160s (2.12%)     	0.00138870s (1.64%)    	    0.00108907s (1.29%)    	    0.00421808s (4.99%)    	    0.00073797s (0.87%)    	    0.00391174s (4.62%)    	
