Elements		BubbleSort		SelectionSort		InsertSort		HeapSort		MergeSort		QuickSort		RadixSort		SmoothSort		Timsort		CombSort


	Almost Sorted


2^3 = 8 		0.00000470s (32.23%)    	0.00000619s (42.45%)    	0.00000257s (17.63%)    	0.00000958s (65.72%)    	0.00000667s (45.74%)    	0.00000486s (33.33%)    	0.00001458s (100.00%)    	0.00000825s (56.60%)    	0.00000344s (23.57%)    	0.00000789s (54.11%)    	
2^4 = 16 		0.00001287s (55.02%)    	0.00002179s (93.14%)    	0.00000514s (21.96%)    	0.00002173s (92.88%)    	0.00001473s (62.97%)    	0.00001073s (45.86%)    	0.00002188s (93.53%)    	0.00002339s (100.00%)    	0.00000488s (20.84%)    	0.00001574s (67.27%)    	
2^5 = 32 		0.00004514s (56.38%)    	0.00008008s (100.00%)    	0.00000874s (10.92%)    	0.00005471s (68.32%)    	0.00003184s (39.76%)    	0.00002331s (29.12%)    	0.00003629s (45.32%)    	0.00005598s (69.91%)    	0.00000840s (10.50%)    	0.00004189s (52.32%)    	
2^6 = 64 		0.00017530s (55.03%)    	0.00031857s (100.00%)    	0.00001737s (5.45%)    	0.00013408s (42.09%)    	0.00007145s (22.43%)    	0.00005214s (16.37%)    	0.00006651s (20.88%)    	0.00014049s (44.10%)    	0.00002275s (7.14%)    	0.00011620s (36.48%)    	
2^7 = 128 		0.00063605s (49.07%)    	0.00129618s (100.00%)    	0.00003606s (2.78%)    	0.00032117s (24.78%)    	0.00016002s (12.35%)    	0.00012303s (9.49%)    	0.00012863s (9.92%)    	0.00033822s (26.09%)    	0.00005408s (4.17%)    	0.00027663s (21.34%)    	
2^8 = 256 		0.00229584s (45.29%)    	0.00506898s (100.00%)    	0.00007335s (1.45%)    	0.00074188s (14.64%)    	0.00035020s (6.91%)    	0.00027218s (5.37%)    	0.00024580s (4.85%)    	0.00084263s (16.62%)    	0.00012881s (2.54%)    	0.00068384s (13.49%)    	
2^9 = 512 		0.01079292s (49.18%)    	0.02194540s (100.00%)    	0.00014993s (0.68%)    	0.00174453s (7.95%)    	0.00081286s (3.70%)    	0.00064442s (2.94%)    	0.00054413s (2.48%)    	0.00184534s (8.41%)    	0.00031746s (1.45%)    	0.00166444s (7.58%)    	
2^10 = 1024 		0.04312419s (50.97%)    	0.08461316s (100.00%)    	0.00029804s (0.35%)    	0.00402723s (4.76%)    	0.00179160s (2.12%)    	0.00138870s (1.64%)    	0.00108907s (1.29%)    	0.00421808s (4.99%)    	0.00073797s (0.87%)    	0.00391174s (4.62%)    	
2^11 = 2048 		0.15727880s (45.61%)    	0.34482870s (100.00%)    	0.00060122s (0.17%)    	0.00916574s (2.66%)    	0.00391186s (1.13%)    	0.00313617s (0.91%)    	0.00206769s (0.60%)    	0.00941859s (2.73%)    	0.00166107s (0.48%)    	0.00866987s (2.51%)    	
2^12 = 4096 		0.69665821s (50.13%)    	1.38982657s (100.00%)    	0.00120687s (0.09%)    	0.02058887s (1.48%)    	0.00863500s (0.62%)    	0.00682396s (0.49%)    	0.00432329s (0.31%)    	0.02103702s (1.51%)    	0.00379933s (0.27%)    	0.02009066s (1.45%)    	
2^13 = 8192 		3.06545925s (55.52%)    	5.52157946s (100.00%)    	0.00250992s (0.05%)    	0.04428862s (0.80%)    	0.01848080s (0.33%)    	0.01450332s (0.26%)    	0.00892766s (0.16%)    	0.04584366s (0.83%)    	0.00832349s (0.15%)    	0.04493053s (0.81%)    	
2^14 = 16384 		11.90411917s (53.62%)    	22.19951257s (100.00%)    	0.00520689s (0.02%)    	0.09696063s (0.44%)    	0.04035582s (0.18%)    	0.03170402s (0.14%)    	0.01890230s (0.09%)    	0.10034474s (0.45%)    	0.01867271s (0.08%)    	0.09867591s (0.44%)    	

Finish from mlem :)
